PC1,PC2,PC3
-1.0112580450763877,-0.297353787608074,1.9249726303797727
-1.175964338568058,1.3741258430451528,-0.38988574065020404
-0.2761529284546728,-2.2459450287234004,0.7317222362862164
-0.8671877187754642,0.7192004909733818,-1.5247670855683224
-1.144530050221997,1.4333208813887641,-0.7545405777138843
-0.5408062160250686,-0.6807296634403867,-1.9310179191022474
-0.8852842953743412,-0.2636597344249781,0.47938224939710683
-1.3277578138794977,0.4267456637881464,0.955809238033141
-0.9675538572592833,-1.7407766732510255,0.8857341051039168
-0.760951025239912,-2.1624211919404024,0.3382753864220245
-1.0110140464225117,-0.4847303705197127,-1.6466438128586238
-0.7063160717215351,-1.8671765174347394,-1.200077995766812
-1.2405217158772386,0.08644734090920216,0.2656041540600358
-0.9243742112512346,-0.6288230418440202,-1.2761694390809308
-1.5635393242413416,0.17364260127223446,2.0173454692437116
-1.0835272649323315,-0.6330180198720096,-0.7166519873289073
-1.5953598264471838,1.2648178808592414,-0.09377213345711037
-1.3818757026459243,-0.5038986795571944,1.9067971927307907
-0.7198793055401993,-1.8339504795321877,-1.346248688943309
-1.008759194192547,-0.7557469038923244,-0.7763691683258662
-1.5513798218770154,0.8783547926229828,-0.005353716157778165
-1.3697530649092318,-0.45425727701966806,1.4783569747995013
-1.6076504784808048,1.5863204996480849,-0.3201142178792859
-1.5407642012423866,1.0892885592077624,0.23881918548721692
-1.1223791771165201,0.05598711495124704,-1.71128876556391
-0.9417790964260159,-0.901042082790574,-0.415722395352352
-0.9256400632468774,-0.7859673779147378,-1.5458694647642217
-0.9571082648548136,-0.6838654669424419,0.3802453366868427
-1.1953516250254168,0.1994036858177676,-1.846627222895014
-0.9862699218013403,-0.6773864812313364,-1.6151642493924936
-1.3270625968072263,0.8637581499332977,-1.6162690171498504
-1.54973956664743,1.3998338082112705,0.30377622516176866
-0.9484579704245204,-1.8499173535752906,0.7967772740575259
-0.7971943635378728,-1.8955116635958547,0.1754006193181922
-0.9676741775950094,-0.7589606726625101,-1.3968294901668894
-1.4856147408066802,0.5950679355024568,0.996112789292199
-1.572342805681032,-0.11605839420072332,2.703346858065847
-1.5787414384515432,1.180977838851634,0.1330113345075635
-0.9155085012455849,-1.8914798717860246,1.414219993183645
-0.8644372292609824,-1.093894118127625,-0.8258646945710675
-1.4803134744540545,0.7166727162471354,0.3935212758667638
-0.6977794276909415,-2.0501915559603283,-0.7385321739851575
-0.8827864202040213,-1.1374469882576983,-0.977758867615582
-1.2197233243203287,0.8051101470055678,-3.3954907891409065
-0.769017457037632,-2.3559589506463374,0.7893372464979244
-1.068633587708799,-0.0674370231392704,-2.665596414939587
-1.119292223642419,-0.5490340435308764,-1.211031479466731
-0.9378758848988212,-0.5558406598186683,-2.297884202832803
-1.0336012605806821,-0.3608276273170185,-2.204490984262189
-1.359005704480095,-0.03646932348387782,1.5894246519589177
-1.5294311634073694,0.9275027363922573,0.16270859018550252
-1.5452498778484085,0.47103592079669593,1.0451996084831003
-1.1218833052799142,-0.08903255900757169,-1.0302175206332818
-1.287700824523791,-0.17979456921433934,0.8285475297042849
-1.3641139735678078,-0.1820090678357969,2.235086438768059
-1.1035960113784686,-0.1369948653348563,-1.7084835902038469
-0.8703172851358792,-1.308058093472055,-0.6941072863742841
-1.5812397423520321,0.23921660673444398,2.5403589110328126
-1.180279869080476,0.21271398875853673,-1.3585568950154672
-0.8922185946591578,-1.3227404609373963,-0.2842136081915573
-1.5811093445309934,0.40438572307814535,2.4683301116199075
-1.1681646870690037,0.0479326649528336,0.9555818483959555
-1.4192126216528085,0.6442639929900444,-0.10239335599441708
-1.5864766919391746,0.7976337687224582,0.5921724101579036
-1.5344158950671187,0.42061826330483215,1.2562178683106866
-1.6436727260137292,1.5764184557196261,-0.6347550088375389
-0.7551783710555574,-2.0766907461834,0.7373041154298481
-1.0292782696000113,-0.8079382610695478,-0.16918686563837698
-1.4605182765385964,-0.3605962030767574,2.303005334037032
-1.4883543820355811,-0.1350109733488583,1.942914145260343
-1.5760932615120595,1.39851251001524,-0.12169414182286398
-0.8032140007666783,-2.1765994323156237,0.886543319225382
-1.602791247882154,1.3112900904354678,0.4300218121685686
-1.646927080484806,1.4482328126127284,-0.3334565386521105
-0.8011272945759196,-1.4172927314269996,-1.3639527303625174
-1.4421452446301497,-0.22627468668343068,1.4363619076700092
-1.5037663039926192,1.1260960368783466,0.1327107743407368
-1.5375371518037997,1.3384502556403792,-0.6935217963190912
-0.8665938179428689,-0.9497300251957875,-2.1943861976469043
-1.0851867972876375,-0.9397039530853921,-0.35207008968340203
-1.5470704987621127,0.5058443126161185,0.8283869911671459
-0.8667352122245647,-1.6705058353457476,0.057759885806011144
-0.9763426146712063,-1.5024760377140098,0.4575279276207926
-1.6672145974626518,1.4392811577191769,-0.18524138772152418
-1.0341611379102822,-0.36944328071128646,-2.314046691109369
-1.166176167277742,-0.008001133880685208,-1.8071955450618802
-1.591843124387469,0.679743963058642,0.8231148368695325
-1.168623198956531,-0.5304504061951876,-0.6275353428325082
-1.497484211270531,0.1910162027565777,1.6495801054794632
-0.9535110669699746,-0.8318590207740449,-1.0582322034986593
-1.0531418274301168,-0.6090105254032241,-1.6319609019062635
-1.515086917417144,0.3403731612534167,0.866615920393082
-1.0380851543399217,-1.6315715241795739,0.7647770494938672
-1.679454314380442,1.3869357343508766,-0.0714617764569554
-1.0490666422862065,-0.6536808054164589,-1.5730152050338455
-1.108897973957563,-0.45945416623455854,-1.0023580766703795
-1.6689524091030032,1.674443745033607,-0.6545385716744831
-0.8797570278727872,-1.8348962870607957,0.011374267237266466
-1.4811248888828212,-0.1190340789094974,1.7367635411146747
-1.6465626234502864,1.027764040413778,0.1391099693284092
-1.6960278827936475,1.7529558774464704,-0.600430451027251
-1.0369521296405904,-0.6566137912448475,-1.4561175874828194
-1.043448054271541,-0.6467011104875173,-1.528527215969829
-1.6775752875518084,1.3089612298378754,0.19106902678659254
-0.9743542907462012,-0.6271721431571572,-1.4008556684868039
-1.6720157778501985,1.4650372256125728,-0.10848970422695621
-1.7980672527957955,1.5837503576481045,0.5838753403024322
0.0025212831813502183,-5.195787819843257,-0.6024787731924578
-1.6689231795844448,1.4403078713286384,-0.0682868441341304
-1.1263398051500324,-0.14827198291929056,-2.103833562268143
-1.44104779245676,0.013226437455171599,1.7649567029519957
-1.4450499291095404,-0.5000398609975952,2.381456563161475
-1.0708200639810366,-0.4854867833111673,-1.7250006691186854
-1.5017129789674797,0.6028478528853928,0.7801806099320554
-1.086616141083135,-0.40257423370393347,-1.2220131034987194
-0.9777742684077962,-1.9961374151553746,0.7996330332379001
-1.6330269765378433,1.7721004042784883,-0.3034323484055885
-0.8853945303320974,-1.8221444225457468,0.971179734885685
-1.1613422934344444,-0.4081134449192048,-0.4800883359145278
-1.4080449562964912,0.14257032529429114,0.992775988060068
-1.0581870876591106,-0.38820591695130463,-2.0600920702104535
-1.6510403982296742,1.4236060619661846,-0.43705022384253567
-1.575819108912385,1.3389103087420042,0.3132278040420623
-1.100484545072596,-0.26590335908112417,-2.1044914166133206
-1.5365107095038335,1.430792776703756,-0.7806825912669663
-0.8680072987096633,-2.2216207268905888,0.3242564574360848
-1.6282973992413237,1.552769872843263,-0.38962764312562526
-0.9837175019132967,-1.2806005132129479,-0.15682055612880944
-1.3871415294360034,-0.25011584632109224,1.4664822892871132
-1.6377299815196646,1.1603946524694866,0.40073908563649846
-1.5552716595189715,0.09861652867922022,1.651319499648272
-0.8743102225780951,-2.306622632372963,0.6469511627588486
-1.0871517989413517,-0.4208597098831767,-1.8093769215293856
-1.6748630877466137,1.4091820912385618,-0.00464565683319947
-1.184574248105461,0.26155460882669834,-2.7444414031379964
-1.5081753826691613,0.5329963912029679,-0.22474895405902742
-1.1500931263769267,0.14750691354564455,-2.6578573109959636
-1.2247116031436838,-0.02828167704090955,-1.154913490333374
-1.639996232376732,1.7763649340174956,-0.9557630810442109
-1.1215551558195078,-0.9901726091283128,0.29041857020084
-1.6628337384812866,1.2870286865980942,0.10535762167087057
-0.9501100039872435,-1.4128521567876644,0.010044884555598032
-1.4651632520376754,0.5255476733731619,0.5933240028076071
-1.7066683575655597,1.705081423377655,-0.7786914935405685
-1.4920757814207004,0.96767195604694,1.5007776756217237
-1.6104380182004339,0.9737276616426804,0.5578867292746211
-1.0135425607269335,-1.683416345026082,1.5950953387051776
-1.6585193253722346,1.4004151816933408,-0.39827283510996303
-0.9237022734529342,-1.7511945983537622,-0.14900264215757472
-1.5661060373367823,0.4444349839952053,0.91027942156962
-1.3751586211890352,-0.09920613868052967,1.4436844241005506
-1.097660828500987,-0.26043548859832494,-1.9799637081318635
-1.326632008240056,-0.31146800910967437,1.998807630190161
-1.0619309271194661,-0.5677445858640668,-1.5051563656727136
-1.4473061892610926,-0.18038877021537136,2.3186667997951704
-1.6543934061619148,1.3948884119572955,0.02096590638797061
-1.035186391293576,-0.3179516253491827,-2.0337083391204844
-1.4464402755943315,-0.5077896296385249,2.345736532026231
